perl,"The Perl interpreter."
perl-Algorithm-Diff,"A run-time dependency."
perl-Archive-Tar,"Core Perl API."
perl-Archive-Zip,"A run-time dependency."
perl-B-Debug,"Core Perl API."
perl-CPAN,"Core Perl API."
perl-CPAN-Meta,"Core Perl API."
perl-CPAN-Meta-Requirements,"Core Perl API."
perl-CPAN-Meta-YAML,"Core Perl API."
perl-Carp,"Core Perl API."
perl-Compress-Bzip2,"A run-time dependency."
perl-Compress-Raw-Bzip2,"Core Perl API."
perl-Compress-Raw-Zlib,"Core Perl API."
perl-Config-Perl-V,"Core Perl API."
perl-DB_File,"Core Perl API."
perl-Data-Dumper,"Core Perl API."
perl-Data-OptList,"A run-time dependency."
perl-Data-Section,"A run-time dependency."
perl-Devel-PPPort,"Core Perl API."
perl-Devel-Size,"A run-time dependency."
perl-Digest,"Core Perl API."
perl-Digest-MD5,"Core Perl API."
perl-Digest-SHA,"Core Perl API."
perl-Encode,"Core Perl API."
perl-Env,"Core Perl API."
perl-Exporter,"Core Perl API."
perl-ExtUtils-CBuilder,"Core Perl API."
perl-ExtUtils-Install,"Core Perl API."
perl-ExtUtils-MakeMaker,"Core Perl API."
perl-ExtUtils-Manifest,"Core Perl API."
perl-ExtUtils-ParseXS,"Core Perl API."
perl-Fedora-VSP,"RPM dependency generator."
perl-File-Fetch,"Core Perl API."
perl-File-HomeDir,"A run-time dependency."
perl-File-Path,"Core Perl API."
perl-File-Temp,"Core Perl API."
perl-File-Which,"A run-time dependency."
perl-Filter,"Core Perl API."
perl-Filter-Simple,"Core Perl API."
perl-Getopt-Long,"Core Perl API."
perl-HTTP-Tiny,"Core Perl API."
perl-IO-Compress,"Core Perl API."
perl-IO-Socket-IP,"Core Perl API."
perl-IPC-Cmd,"Core Perl API."
perl-autodie,"Core Perl API."
perl-bignum,"Core Perl API."
perl-constant,"Core Perl API."
perl-experimental,"Core Perl API."
perl-generators,"RPM dependency generator."
perl-inc-latest,"A run-time dependency."
